,Unnamed: 0,datetime,temperature,pressure,wind_speed,cloud,humidity,dew_point,sea_level_pressure,wind_direction,solar_rad,precipitation,precipitation_next_hour,temperature_next_hour,humidity_next_hour,hour,month,day
0,35057,2020-01-01 00:00:00,20.0,1023,0.8,100,89,18.1,1024,360,0,0.0,0.0,20.0,89.0,0,1,1
1,35058,2020-01-01 01:00:00,20.0,1023,0.8,100,89,18.1,1024,360,0,0.0,0.0,19.9,89.0,1,1,1
2,35059,2020-01-01 02:00:00,19.9,1023,1.2,100,89,18.1,1023,360,0,0.0,0.0,19.9,90.0,2,1,1
3,35060,2020-01-01 03:00:00,19.9,1022,1.2,100,90,18.2,1023,360,0,0.0,0.0,19.8,91.0,3,1,1
4,35061,2020-01-01 04:00:00,19.8,1022,0.8,100,91,18.3,1023,360,0,0.0,0.0,19.6,87.0,4,1,1
5,35062,2020-01-01 05:00:00,19.6,1022,0.8,95,87,17.4,1024,18,0,0.0,0.0,19.6,87.0,5,1,1
6,35063,2020-01-01 06:00:00,19.6,1022,1.2,77,87,17.4,1024,8,0,0.0,0.0,20.0,92.0,6,1,1
7,35064,2020-01-01 07:00:00,20.0,1023,1.2,100,92,18.7,1024,360,37,0.0,0.0,20.5,89.0,7,1,1
8,35065,2020-01-01 08:00:00,20.5,1024,0.33,100,89,18.6,1024,300,84,0.0,0.0,21.0,85.0,8,1,1
9,35066,2020-01-01 09:00:00,21.0,1024,0.66,100,85,18.4,1025,240,115,0.0,0.0,21.5,83.0,9,1,1
10,35067,2020-01-01 10:00:00,21.5,1025,1.0,100,83,18.5,1026,180,136,0.0,0.0,21.5,83.0,10,1,1
11,35068,2020-01-01 11:00:00,21.5,1024,0.66,100,83,18.5,1025,240,148,0.0,0.0,21.6,83.0,11,1,1
12,35069,2020-01-01 12:00:00,21.6,1023,0.33,100,83,18.5,1024,300,151,0.0,0.0,21.6,83.0,12,1,1
13,35070,2020-01-01 13:00:00,21.6,1022,1.6,100,83,18.6,1023,360,148,0.0,0.0,21.7,83.0,13,1,1
14,35071,2020-01-01 14:00:00,21.7,1022,0.33,100,83,18.7,1023,300,135,0.0,0.0,21.9,83.0,14,1,1
15,35072,2020-01-01 15:00:00,21.9,1021,0.66,100,83,18.8,1022,240,114,0.0,0.0,22.0,83.0,15,1,1
16,35073,2020-01-01 16:00:00,22.0,1021,1.0,100,83,19.0,1022,180,84,0.0,0.0,21.5,85.0,16,1,1
